車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
3663-QH,78,0,132,121.5088,25.1288,2018/3/12 上午 11:30:06,,50,100600
5473-YD,78,0,24,121.5216,25.1228,2018/3/12 上午 11:30:59,11,50,100600
5473-YD,78,0,153,121.5244,25.1212,2018/3/12 上午 11:34:42,,50,100600
4490-UW,78,0,316,121.4688,25.1265,2018/3/12 上午 11:34:43,11,50,100600
5473-YD,78,0,153,121.5244,25.1212,2018/3/12 上午 11:34:50,0,50,100600
3387-QH,78,0,108,121.5249,25.1211,2018/3/12 上午 11:38:13,,50,100600
3663-QH,78,0,63,121.5076,25.1365,2018/3/12 上午 11:40:05,,50,100600
4490-UW,78,0,146,121.4685,25.1234,2018/3/12 上午 11:40:49,,70,100600
5473-YD,78,0,324,121.5254,25.1246,2018/3/12 上午 11:43:17,11,50,100600
0005-QH,78,0,175,121.515,25.11,2018/3/12 上午 11:45:04,,50,100600
3387-QH,78,0,45,121.5244,25.1226,2018/3/12 上午 11:45:41,0,50,100600
3387-QH,78,0,128,121.5251,25.1228,2018/3/12 上午 11:47:49,10,50,100600
5473-YD,78,0,129,121.5271,25.1238,2018/3/12 上午 11:48:58,10,50,100600
3387-QH,78,0,60,121.5256,25.1238,2018/3/12 上午 11:50:54,11,50,100600
3663-QH,78,0,98,121.502,25.1396,2018/3/12 上午 11:51:54,,50,100600
0005-QH,78,0,184,121.5176,25.1054,2018/3/12 上午 11:52:38,11,50,100600
4490-UW,78,0,104,121.4676,25.1229,2018/3/12 上午 11:53:15,0,70,100600
1456-QH,78,0,290,121.5142,25.1148,2018/3/12 上午 11:53:22,,50,100600
5473-YD,78,0,208,121.5309,25.1295,2018/3/12 上午 11:55:41,,50,100600
3387-QH,78,0,51,121.525,25.1242,2018/3/12 上午 11:55:50,0,50,100600
0005-QH,78,0,102,121.5222,25.1131,2018/3/12 下午 12:00:17,10,50,100600
4490-UW,78,0,125,121.4734,25.1205,2018/3/12 下午 12:00:19,0,50,100600
3663-QH,78,0,306,121.4994,25.1349,2018/3/12 下午 12:05:07,15,50,100600
3387-QH,78,0,305,121.5219,25.1225,2018/3/12 下午 12:05:47,,50,100600
5473-YD,78,0,189,121.5296,25.1304,2018/3/12 下午 12:07:18,11,50,100600
0005-QH,78,0,13,121.5197,25.1197,2018/3/12 下午 12:10:19,,50,100600
5473-YD,78,0,2,121.5304,25.133,2018/3/12 下午 12:13:20,,50,100600
5473-YD,78,0,2,121.5304,25.133,2018/3/12 下午 12:13:22,,50,100600
5470-YD,78,0,270,121.5108,25.121,2018/3/12 下午 12:14:05,0,50,100600
4490-UW,78,0,170,121.4692,25.1205,2018/3/12 下午 12:14:22,0,50,100600
1456-QH,78,0,116,121.5135,25.1111,2018/3/12 下午 12:14:42,0,50,100600
ANN-5972,78,0,180,121.503,25.1362,2018/3/12 下午 12:15:43,11,50,100600
3387-QH,78,0,120,121.5272,25.1252,2018/3/12 下午 12:17:12,11,50,100600
3670-QH,78,0,146,121.503,25.136,2018/3/12 下午 12:20:26,0,50,100600
1456-QH,78,0,239,121.5133,25.1116,2018/3/12 下午 12:22:37,,50,100600
4490-UW,78,0,192,121.4692,25.1198,2018/3/12 下午 12:23:25,0,50,100600
5471-YD,78,0,145,121.503,25.1361,2018/3/12 下午 12:26:02,11,50,100600
4490-UW,78,0,174,121.468,25.1186,2018/3/12 下午 12:26:06,,50,100600
4490-UW,78,0,349,121.4678,25.1186,2018/3/12 下午 12:28:46,0,50,100600
1456-QH,78,0,131,121.5134,25.1144,2018/3/12 下午 12:32:37,,50,100600
4490-UW,78,0,265,121.4667,25.1181,2018/3/12 下午 12:33:50,,50,100600
4490-UW,78,0,265,121.4667,25.1181,2018/3/12 下午 12:33:52,,50,100600
3387-QH,78,0,174,121.531,25.1279,2018/3/12 下午 12:34:55,0,50,100600
4490-UW,78,0,337,121.4663,25.1186,2018/3/12 下午 12:36:08,0,50,100600
4490-UW,78,0,98,121.4676,25.1203,2018/3/12 下午 12:38:22,0,50,100600
3387-QH,78,0,81,121.5292,25.1293,2018/3/12 下午 12:40:22,11,50,100600
3387-QH,78,0,273,121.5291,25.1293,2018/3/12 下午 12:42:14,0,50,100600
0005-QH,78,0,116,121.5029,25.1359,2018/3/12 下午 12:46:35,0,50,100600
4490-UW,78,0,105,121.4683,25.1217,2018/3/12 下午 12:47:01,0,50,100600
4412-UY,78,0,327,121.5029,25.1363,2018/3/12 下午 12:49:16,20,50,100600
5473-YD,78,0,224,121.5029,25.1362,2018/3/12 下午 12:49:45,,50,100600
7816-QK,78,0,150,121.5032,25.1358,2018/3/12 下午 12:54:26,,50,100600
4490-UW,78,0,227,121.4659,25.1217,2018/3/12 下午 12:58:45,,50,100600
5473-YD,78,0,296,121.5029,25.1362,2018/3/12 下午 12:59:20,11,50,100600
4490-UW,78,0,331,121.467,25.1201,2018/3/12 下午 01:03:30,0,50,100600
3387-QH,78,0,199,121.5278,25.1382,2018/3/12 下午 01:04:11,11,50,100600
4490-UW,78,0,331,121.4673,25.1219,2018/3/12 下午 01:09:50,,50,100600
0768-QH,78,0,295,121.5055,25.1161,2018/3/12 下午 01:11:43,,70,100600
5473-YD,78,0,296,121.503,25.136,2018/3/12 下午 01:11:54,24,50,100600
5472-YD,78,0,153,121.503,25.1359,2018/3/12 下午 01:16:36,15,50,100600
8315-EW,78,0,304,121.5172,25.1084,2018/3/12 下午 01:16:50,0,50,100600
1456-QH,78,0,167,121.5032,25.1359,2018/3/12 下午 01:20:08,15,50,100600
5472-YD,78,0,288,121.4921,25.1422,2018/3/12 下午 01:27:10,0,50,100600
4490-UW,78,0,331,121.4673,25.1219,2018/3/12 下午 01:28:01,10,50,100600
1460-QH,78,0,25,121.5023,25.1193,2018/3/12 下午 01:28:43,,70,100600
5471-YD,78,0,320,121.5029,25.136,2018/3/12 下午 01:36:23,,50,100600
3663-QH,78,0,327,121.5029,25.136,2018/3/12 下午 01:36:36,,50,100600
3663-QH,78,0,327,121.5029,25.1361,2018/3/12 下午 01:36:38,,50,100600
4388-UY,78,0,136,121.5029,25.1361,2018/3/12 下午 01:37:02,,50,100600
4388-UY,78,0,225,121.5029,25.1361,2018/3/12 下午 01:39:40,24,50,100600
4490-UW,78,0,99,121.4645,25.122,2018/3/12 下午 01:41:03,11,50,100600
3670-QH,78,0,125,121.5029,25.1361,2018/3/12 下午 01:42:11,,50,100600
8315-EW,78,0,311,121.5155,25.1091,2018/3/12 下午 01:43:31,,50,100600
3663-QH,78,0,293,121.5028,25.136,2018/3/12 下午 01:44:11,10,50,100600
4490-UW,78,0,101,121.4654,25.1221,2018/3/12 下午 01:45:29,0,50,100600
3663-QH,78,0,9,121.5052,25.1387,2018/3/12 下午 01:49:10,11,50,100600
