車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5471-YD,89,0,228,121.503,25.1359,2018/3/12 下午 12:29:19,10,50,100600
5471-YD,89,0,228,121.5029,25.1359,2018/3/12 下午 12:29:49,10,50,100600
5471-YD,89,0,228,121.5029,25.1359,2018/3/12 下午 12:30:19,0,50,100600
5471-YD,89,0,228,121.5029,25.1359,2018/3/12 下午 12:30:49,0,50,100600
5473-YD,68,0,185,121.5029,25.1359,2018/3/12 下午 12:35:56,0,50,100600
0005-QH,89,0,116,121.5029,25.1359,2018/3/12 下午 12:47:04,0,50,100600
0005-QH,89,0,116,121.5029,25.1359,2018/3/12 下午 12:47:34,0,50,100600
0005-QH,89,0,8,121.5029,25.1359,2018/3/12 下午 12:48:04,0,50,100600
0005-QH,68,0,8,121.5029,25.1358,2018/3/12 下午 12:48:22,,50,100600
0005-QH,89,0,8,121.5029,25.1358,2018/3/12 下午 12:48:34,11,50,100600
4412-UY,89,0,317,121.5029,25.1359,2018/3/12 下午 12:51:45,11,50,100600
4412-UY,68,0,156,121.5029,25.1358,2018/3/12 下午 12:53:05,22,50,100600
7816-QK,68,0,319,121.5029,25.1359,2018/3/12 下午 01:04:15,0,50,100600
7816-QK,89,0,319,121.5029,25.1359,2018/3/12 下午 01:04:27,0,50,100600
7816-QK,89,0,319,121.5029,25.1359,2018/3/12 下午 01:04:57,0,50,100600
5472-YD,89,0,153,121.503,25.1359,2018/3/12 下午 01:17:05,0,50,100600
1456-QH,68,0,167,121.5031,25.1359,2018/3/12 下午 01:20:07,11,50,100600
1456-QH,89,0,167,121.5032,25.1359,2018/3/12 下午 01:20:10,0,50,100600
1456-QH,89,0,84,121.5032,25.1358,2018/3/12 下午 01:20:40,11,50,100600
7816-QK,89,0,168,121.5029,25.1359,2018/3/12 下午 01:35:14,0,50,100600
4388-UY,68,0,155,121.503,25.1359,2018/3/12 下午 01:37:26,23,50,100600
4388-UY,89,0,142,121.5032,25.1359,2018/3/12 下午 01:40:31,37,50,100600
3670-QH,89,0,152,121.5031,25.1359,2018/3/12 下午 01:44:40,10,50,100600
3670-QH,89,0,152,121.5031,25.1359,2018/3/12 下午 01:45:10,0,50,100600
3670-QH,89,0,20,121.503,25.1359,2018/3/12 下午 01:49:41,0,50,100600
ANN-5972,68,0,159,121.503,25.1358,2018/3/12 下午 02:11:52,,50,100600
0005-QH,89,0,186,121.5031,25.1358,2018/3/12 下午 02:17:46,37,50,100600
8315-EW,89,0,141,121.503,25.1359,2018/3/12 下午 02:21:38,15,50,100600
4490-UW,89,0,59,121.4682,25.1281,2018/3/12 下午 02:22:07,67,50,100600
3670-QH,89,0,144,121.5031,25.1359,2018/3/12 下午 02:25:20,37,50,100600
0005-QH,68,0,278,121.5066,25.1176,2018/3/12 下午 02:28:41,,50,100600
0005-QH,89,0,278,121.5066,25.1175,2018/3/12 下午 02:28:47,16,50,100600
0005-QH,89,0,278,121.5066,25.1175,2018/3/12 下午 02:29:17,0,50,100600
1460-QH,68,0,200,121.5028,25.1357,2018/3/12 下午 02:33:57,24,50,100600
0768-QH,68,0,198,121.5029,25.1359,2018/3/12 下午 02:34:32,30,50,100600
5470-YD,68,0,118,121.5029,25.1358,2018/3/12 下午 02:39:04,0,50,100600
5470-YD,89,0,118,121.5029,25.1358,2018/3/12 下午 02:39:08,0,50,100600
0005-QH,89,0,96,121.5092,25.1145,2018/3/12 下午 02:40:16,72,50,100600
0005-QH,68,0,349,121.5092,25.1146,2018/3/12 下午 02:40:42,11,50,100600
0005-QH,89,0,349,121.5092,25.1146,2018/3/12 下午 02:40:46,0,50,100600
0005-QH,89,0,349,121.5092,25.1146,2018/3/12 下午 02:41:16,0,50,100600
